first_name,last_name,death_year,bio_url,nationality,art_movement,author_id,bio_info,birth_year
Pierre Auguste,Renoir,1919,http://www.the-athenaeum.org/people/detail.php?ID=24,French,Impressionist,24,"French Impressionist Painter.
One of the most prolific painters in history, he produced over 6.000 paintings.",1841
Oscar-Claude,Monet,1926,http://www.the-athenaeum.org/people/detail.php?ID=13,French,Impressionist,13,"French Impressionist painter (Paris, 14 November 1840 - Giverny, 6 December 1926).
Prolific artist, he painted over 2.000 canvases, mostly of his house and garden in Giverny, where a museum is dedicated to Impressionism.",1840
John Singer,Sargent,1925,http://www.the-athenaeum.org/people/detail.php?ID=368,American,Impressionist,368,"American impressionist painter.
A prolific artist, he painted about 3,000 works.",1856
Joseph Mallord William,Turner,1851,http://www.the-athenaeum.org/people/detail.php?ID=1315,English,Romantic,1315,"English romantic painter and watercolourist.
Most famous English painter of the first half of the 19th century, he only painted landscapes and marines (with the exception of two self-portraits). He is particularly celebrated for his rendering of clouds, fog, and sunlight, for which he was second to none.
In the 1790's, Turner painted many watercolours of castles, churches and ruins. Then, in his mature years (1800-1835), he switched to larger oil compositions, depicting marines and historic scenes, which still look like landscapes or cityscapes since human characters are often barely visible in the background. In his later years, he started to make paintings of shipwrecks and raging seas, which now look nearly abstract.
Turner travelled a lot to find inspiration: 
1793, Kent (Dover, Canterbury, Rochester and Rye); 
1794, Midlands; 
1801 Scotland; 
1802, France and Switzerland; 
1817, Belgium and Germany, from Waterloo to Mainz, and  travelling up the Rhine river; 
1818, Scotland; 
1819-1820 (August to February), Italy (Rome); 
1826-1828, France, going up the Loire river (from Nantes to Orleans); 
1828, Italy; 
1831, Scotland; 
1832, France, going up the Seine River, from Le Havre to Troyes; 
1834, Scotland; 
1839, France and Germany, descending down the Mosel river from Metz to Koblenz; 
1840, Italy (Venice); 
1844, Switzerland, via the Rhine (Heidelberg).
A prolific artist, he produced over 500 paintings, 2.000 watercolours and countless drawings.
The paintings still in his possession at his death were bequeathed to the State in 1856, so the Tate Gallery holds an extensive collection of his works (including 20.000(!) drawings from his sketchbooks). Outside Britain, the Indianapolis Museum of art has the largest collection of Turner's paintings.",1775
Vincent Willem van,Gogh,1890,http://www.the-athenaeum.org/people/detail.php?ID=789,Dutch,Post-Impressionist,789,"Dutch Post-Impressionist painter who remains one of the most popular. His unique and easy to spot style inspired generations of artists as he was the first to abandon realistic painting. In his early works during the mid-1880s, van Gogh focused on peasants and their daily lives in his native Holland with a restricted earthy palette of browns and greys.  From 1887 the artist was producing a much brighter palette, as if he was enjoying an improved mental state. His works represent people and landscape with distorted forms and colours, as Van Gogh saw them; indeed, his madness - which lead him to cut his ear and maybe to suicide - could have altered his perception of space.
He produced about 900 paintings and 1100 drawings.  A large collection is currently held in the van Gogh Museum in Amsterdam.",1853
Eugène,Boudin,1898,http://www.the-athenaeum.org/people/detail.php?ID=418,French,Impressionist,418,,1824
Kuzma,Petrov-vodkin,1939,http://www.the-athenaeum.org/people/detail.php?ID=5401,Russian,,5401,,1878
Jean,Mannheim,1945,http://www.the-athenaeum.org/people/detail.php?ID=3674,German,,3674,German born American artist,1862
Marianne,North,1890,http://www.the-athenaeum.org/people/detail.php?ID=9266,English,,9266,,1830
Gustav,Klimt,1918,http://www.the-athenaeum.org/people/detail.php?ID=172,Austrian,Symbolist,172,"Austrian Symbolist painter and graphic artist (Baumgarten, 14 July 1862 - Vienna, 6 February 1918). Member of the Wiener Sezession. Associated with Jugendstil and Art Nouveau.
External links:",1862
Giovanni,Bellini,1516,http://www.the-athenaeum.org/people/detail.php?ID=3550,Italian,Renaissance,3550,"Italian Early Renaissance painter, draughtsman, architect and designer (Venice, ca. 1430 - Venice 29 November 1516). Son of Jacopo Bellini. Brother of Gentile Bellini. Master of Giorgione, Titian and Sebastiano del Piombo.
A major artist of the Venetian early Renaissance.  He was the son of Jacopo and brother of Gentile, also artists.  Giovanni raised the artistic centre of Venice to rival that of Florence.  He was the brother-in-law of Andrea Mantegna, whose works and subject matter are more aligned to the Florentine style.",1430
Paula,Modersohn-becker,1907,http://www.the-athenaeum.org/people/detail.php?ID=3548,German,Expressionist,3548,"German Expressionist painter and graphic artist (Dresden, 8 February 1876 - Worpswede, 20 November 1907). Wife of Otto Modersohn. 
External links:",1876
Edvard,Munch,1944,http://www.the-athenaeum.org/people/detail.php?ID=1793,Norwegian,Symbolist,1793,"Norwegian Symbolist painter and graphic artist (Adalsbruk, 12 December 1863 - Oslo, 23 January 1944). ",1863
Rosalba Giovanna,Carriera,1757,http://www.the-athenaeum.org/people/detail.php?ID=4211,Italian,Rococo,4211,"
	Venetian Rococo painter (Venice, 12 January 1675 - Venice, 15 April 1757). She may have learned painting with Giuseppe Diamantini.

	She started to paint miniatures but later switched to pastels, with which she had a tremendous success. Indeed, her works were highly sought after and became as important as Canaletto's vedute for tourists. Hundreds of her flattering portraits were also done during her trips in Austria, France or Poland; King Augustus III of Saxony-Poland was particularly fond of her works and collected 150 of them. The Dresden 
	Gemäldegalerie therefore owns the best collection of her pictures, although the major part of Augustus III's collection was dispersed after his death.
Rosalba notably made a triumphal journey to Paris in 1720. Her pastels were so popular that many French painters converted to this medium and followed her style, such as Quentin de la Tour and Perronneau.
Her career ended in 1746 after she became blind.
She was admitted in the French Academy during her stay in Paris in 1720, but she never really seated.

	She was the sister-in-law of 
	Giovanni Antonio Pellegrini, another Venetian Rococo painter.",1675
Camille,Pissarro,1903,http://www.the-athenaeum.org/people/detail.php?ID=444,French,Post-Impressionist,444,"French Impressionist Painter.
He studied under Corot.",1830
Gustave,Moreau,1898,http://www.the-athenaeum.org/people/detail.php?ID=367,French,Symbolist,367,"French Symbolist painter (Paris, 6 April 1826 - Paris, 18 April 1898). Master of Henri Matisse, Georges Rouault, Albert Marquet and Henri Manguin.",1826
Charles,Jervas,1739,http://www.the-athenaeum.org/people/detail.php?ID=7553,Irish,,7553,,1675
William Herbert,Allen,1943,http://www.the-athenaeum.org/people/detail.php?ID=7680,United Kingdom,,7680,,1863
William Arthur,Breakspeare,1914,http://www.the-athenaeum.org/people/detail.php?ID=7099,United Kingdom,,7099,,1855
Robert,Lefèvre,1830,http://www.the-athenaeum.org/people/detail.php?ID=5248,French,Neoclassicist,5248,,1755
Alexei,Korzukhin,1894,http://www.the-athenaeum.org/people/detail.php?ID=8947,Russian,,8947,,1835
Louis Remy,Mignot,1870,http://www.the-athenaeum.org/people/detail.php?ID=520,American,,520,,1831
Hendrick Jansz.,Terbrugghen,1629,http://www.the-athenaeum.org/people/detail.php?ID=5229,Dutch,Dutch Golden Age,5229,,1588
Konstantin,Westchilov,1945,http://www.the-athenaeum.org/people/detail.php?ID=6470,Russian,,6470,,1877
Nikolai,Bodarevsky,1921,http://www.the-athenaeum.org/people/detail.php?ID=7121,Russian,,7121,,1850
Vittorio Matteo,Corcos,1933,http://www.the-athenaeum.org/people/detail.php?ID=388,Italian,,388,,1859
Dutch School 16th Century,Unknown,1600,http://www.the-athenaeum.org/people/detail.php?ID=2891,Dutch,,2891,,1500
Pierre,Gobert,1744,http://www.the-athenaeum.org/people/detail.php?ID=5235,French,,5235,,1662
George Hyde,Pownall,1932,http://www.the-athenaeum.org/people/detail.php?ID=11067,United Kingdom,,11067,,1876
Paul-Camille,Guigou,1871,http://www.the-athenaeum.org/people/detail.php?ID=395,French,,395,French Painter,1834
François Joseph,Navez,1869,http://www.the-athenaeum.org/people/detail.php?ID=1403,Belgian,,1403,Neo-classical painter born in Charleroi.  From 1813 to 1816 he worked in the studio of Jacques-Louis David.  He was to reunite with the artist after David's exile to Brussels and they became close;  David had a lasting influence on many of Navez's works at later stages in his career.  From 1817 to 1821 the artist was in Italy.  From this time Navez was drawn to the work of Ingres and the Nazarenes and his style took on a more purist technique ('Hagar and Ishmael' in Brussels for example). ,1787
George,Dawe,1829,http://www.the-athenaeum.org/people/detail.php?ID=5581,United Kingdom,,5581,,1781
Gainsborough,Dupont,1797,http://www.the-athenaeum.org/people/detail.php?ID=8778,English,,8778,The nephew and pupil of Thomas Gainsborough.,1754
Jean-Baptiste,Pater,1736,http://www.the-athenaeum.org/people/detail.php?ID=5570,French,Rococo,5570,,1695
Charles Henry,Miller,1922,http://www.the-athenaeum.org/people/detail.php?ID=3850,American,,3850,,1842
Jean Laurent,Mosnier,1808,http://www.the-athenaeum.org/people/detail.php?ID=7035,French,,7035,,1742
James Carroll,Beckwith,1917,http://www.the-athenaeum.org/people/detail.php?ID=553,American,,553,American Academic Painter,1852
Silvester,Shchedrin,1830,http://www.the-athenaeum.org/people/detail.php?ID=10034,Russian,,10034,,1791
László,Moholy-nagy,1946,http://www.the-athenaeum.org/people/detail.php?ID=4949,Hungarian,Abstract,4949,,1895
James,Aumonier,1911,http://www.the-athenaeum.org/people/detail.php?ID=7747,United Kingdom,,7747,,1832
Anthonie,Palamedesz,1673,http://www.the-athenaeum.org/people/detail.php?ID=4734,Dutch,Dutch Golden Age,4734,,1601
Georg,Janny,1935,http://www.the-athenaeum.org/people/detail.php?ID=7607,Austrian,,7607,,1864
Jose Ferraz de,Almeida junior,1899,http://www.the-athenaeum.org/people/detail.php?ID=10887,Brazilian,,10887,,1850
Heinrich,Hermanns,1942,http://www.the-athenaeum.org/people/detail.php?ID=5863,German,,5863,,1862
Henry Thomas,Alken,1851,http://www.the-athenaeum.org/people/detail.php?ID=7667,United Kingdom,,7667,,1785
Theodore,Gerard,1895,http://www.the-athenaeum.org/people/detail.php?ID=2653,Belgian,Academist,2653,,1829
Georges Antoine,Rochegrosse,1938,http://www.the-athenaeum.org/people/detail.php?ID=2327,French,Academist,2327,,1859
Robert Spear,Dunning,1905,http://www.the-athenaeum.org/people/detail.php?ID=584,American,,584,,1829
Georges,Valmier,1937,http://www.the-athenaeum.org/people/detail.php?ID=3512,French,,3512,,1885
