art_movement,author_id,bio_url,birth_year,death_year,first_name,last_name,nationality,num_works
Impressionist,24,http://www.the-athenaeum.org/people/detail.php?ID=24,1841,1919.0,Pierre Auguste,Renoir,French,1714
Symbolist,1793,http://www.the-athenaeum.org/people/detail.php?ID=1793,1863,1944.0,Edvard,Munch,Norwegian,1673
Impressionist,368,http://www.the-athenaeum.org/people/detail.php?ID=368,1856,1925.0,John Singer,Sargent,American,1669
Impressionist,13,http://www.the-athenaeum.org/people/detail.php?ID=13,1840,1926.0,Oscar-Claude,Monet,French,1295
Romantic,1315,http://www.the-athenaeum.org/people/detail.php?ID=1315,1775,1851.0,Joseph Mallord William,Turner,English,1258
Impressionist,418,http://www.the-athenaeum.org/people/detail.php?ID=418,1824,1898.0,Eugène,Boudin,French,1182
Post-Impressionist,444,http://www.the-athenaeum.org/people/detail.php?ID=444,1830,1903.0,Camille,Pissarro,French,1117
,9266,http://www.the-athenaeum.org/people/detail.php?ID=9266,1830,1890.0,Marianne,North,English,1048
Post-Impressionist,789,http://www.the-athenaeum.org/people/detail.php?ID=789,1853,1890.0,Vincent Willem van,Gogh,Dutch,899
Barbizon,110,http://www.the-athenaeum.org/people/detail.php?ID=110,1796,1875.0,Jean-Baptiste-Camille,Corot,French,801
Impressionist,144,http://www.the-athenaeum.org/people/detail.php?ID=144,1834,1917.0,Edgar,Degas,French,734
Post-Impressionist,1742,http://www.the-athenaeum.org/people/detail.php?ID=1742,1868,1940.0,Edouard,Vuillard,French,728
Old Lyme Colony,1310,http://www.the-athenaeum.org/people/detail.php?ID=1310,1859,1935.0,Frederick Childe,Hassam,American,700
Dutch Golden Age,3325,http://www.the-athenaeum.org/people/detail.php?ID=3325,1606,1669.0,Rembrandt van,Rijn,Dutch,698
Expressionist,1800,http://www.the-athenaeum.org/people/detail.php?ID=1800,1864,1941.0,"VON, Alexei",Jawlensky,Russian,687
Rococo,3642,http://www.the-athenaeum.org/people/detail.php?ID=3642,1703,1770.0,François,Boucher,French,683
Impressionist,93,http://www.the-athenaeum.org/people/detail.php?ID=93,1839,1899.0,Alfred,Sisley,French,657
Impressionist,106,http://www.the-athenaeum.org/people/detail.php?ID=106,1849,1916.0,William Merritt,Chase,American,656
Post-Impressionist,1628,http://www.the-athenaeum.org/people/detail.php?ID=1628,1865,1937.0,Henri,Lebasque,French,655
Post-Impressionist,1627,http://www.the-athenaeum.org/people/detail.php?ID=1627,1865,1935.0,Gustave,Loiseau,French,620
Post-Impressionist,326,http://www.the-athenaeum.org/people/detail.php?ID=326,1839,1906.0,Paul,Cézanne,French,608
,2741,http://www.the-athenaeum.org/people/detail.php?ID=2741,1856,1941.0,John,Lavery,Irish,606
Realist,2410,http://www.the-athenaeum.org/people/detail.php?ID=2410,1860,1900.0,Isaak Illyitch,Levitan,Russian,599
Symbolist,328,http://www.the-athenaeum.org/people/detail.php?ID=328,1840,1916.0,Odilon,Redon,French,593
Impressionist,373,http://www.the-athenaeum.org/people/detail.php?ID=373,1863,1923.0,Joaquin,Sorolla y bastida,Spanish,578
Post-Impressionist,105,http://www.the-athenaeum.org/people/detail.php?ID=105,1848,1903.0,Eugene-Henri Paul,Gauguin,French,574
,5594,http://www.the-athenaeum.org/people/detail.php?ID=5594,1878,1927.0,Boris Mikhailovich,Kustodiev,Russian,570
Realist,91,http://www.the-athenaeum.org/people/detail.php?ID=91,1836,1910.0,Winslow,Homer,American,554
Pointilist,1708,http://www.the-athenaeum.org/people/detail.php?ID=1708,1860,1943.0,Henri,Martin,French,550
Renaissance,5478,http://www.the-athenaeum.org/people/detail.php?ID=5478,1528,1588.0,,Veronese,Italian,545
Expressionist,1713,http://www.the-athenaeum.org/people/detail.php?ID=1713,1894,1943.0,Chaim,Soutine,Belarusan,535
,1581,http://www.the-athenaeum.org/people/detail.php?ID=1581,1727,1788.0,Thomas,Gainsborough,English,532
Impressionist,104,http://www.the-athenaeum.org/people/detail.php?ID=104,1841,1927.0,Jean-Baptiste Armand,Guillaumin,French,503
Expressionist,364,http://www.the-athenaeum.org/people/detail.php?ID=364,1887,1927.0,Juan,Gris,Spanish,499
Baroque,495,http://www.the-athenaeum.org/people/detail.php?ID=495,1577,1640.0,Peter Paul,Rubens,Belgian,488
,4308,http://www.the-athenaeum.org/people/detail.php?ID=4308,1862,1942.0,Mikhail Vasilevich,Nesterov,Russian,486
,502,http://www.the-athenaeum.org/people/detail.php?ID=502,1817,1904.0,George Frederic,Watts,English,484
Baroque,2515,http://www.the-athenaeum.org/people/detail.php?ID=2515,1599,1641.0,Anthony,Van dyck,Belgian,480
,559,http://www.the-athenaeum.org/people/detail.php?ID=559,1723,1792.0,Joshua,Reynolds,English,480
Post-Impressionist,1705,http://www.the-athenaeum.org/people/detail.php?ID=1705,1858,1941.0,Maximilien,Luce,French,478
Peredvizhniki,2400,http://www.the-athenaeum.org/people/detail.php?ID=2400,1824,1896.0,Alexei,Bogoliubov,Russian,474
