location_str,latitude,longitude
"Chicago, United States",41.8755546,-87.6244211
"Copenhagen, Denmark",55.6867243,12.5700724
"Oxford, United Kingdom",51.7520131,-1.2578498
"Washington, United States",38.8949549,-77.0366455
"Miami, Florida, United States",25.7742658,-80.1936588
"Richmond, United Kingdom",51.4613531,-0.3032766
"Moscow, Russian Federation",55.7506828,37.6174976
"St Petersburg, Russian Federation",59.9387318,30.3162286
"Kiev, Ukraine",50.4501071,30.5240501
"Kharkov, Ukraine",49.9902794,36.2303893
"Tula, Russian Federation",54.1930321,37.61754
"Almaty, Kazakhstan",43.21984255,76.9183518874968
"Donetsk, Ukraine",48.0158753,37.8013407
"Tver, Russian Federation",56.858675,35.9208284
"Chelyabinsk, Russian Federation",55.1598408,61.4025547
"Ryazan, Russian Federation",54.66989795,39.6882768282671
"Kirov, Russian Federation",58.6035257,49.6639029
"Florence, Italy",43.7698712,11.2555757
"Paris, France",48.8566101,2.3514992
"Milan, Italy",45.4667971,9.1904984
"Williamstown, MA, United States",42.712207,-73.2035985
"Boston, United States",42.3604823,-71.0595677
"Edinburgh, United Kingdom",55.9495628,-3.1914971
"Berlin, Germany",52.5170365,13.3888599
"Ottawa, Canada",45.4210328,-75.6900218
"Avignon, France",43.9493143,4.8060329
"London, United Kingdom",51.5073219,-0.1276473
"Città del Vaticano, Vatican City State)",41.9008795,12.4509301
"Ajaccio, France",41.9263991,8.7376029
"Rome, Italy",41.85233365,12.6308541512038
"New York, United States",40.7305991,-73.9865811
"Madrid, Spain",40.4167047,-3.7035824
"Bergamo, Italy",45.6945115,9.669839
"Cracovie, Poland",50.0619474,19.9368564
"Warsaw, Poland",52.2319237,21.0067265
"Poznan, Poland",52.4082663,16.9335199
"Pittsburgh, Pennsylvania, United States",40.4416941,-79.990086
"Saitama, Japan",36.0183923,139.281463787943
"Baltimore, Maryland, United States",39.2908816,-76.6107589
"Tokyo, Japan",34.2255804,139.294774527387
"Toledo, OH, United States",41.6786754,-83.5127282
"St. Gallen, Switzerland",47.4250593,9.3765878
"Zurich, Switzerland",47.3685586,8.5404434
"Philadelphia, PA, United States",39.9523993,-75.1635898
"The Hague, Netherlands",52.0799838,4.3113461
"Oberlin, United States",41.2939386,-82.2173785
"Houston, TX, United States",29.7589382,-95.3676973
"Goteborg, Sweden",57.7072326,11.9670171
"Cleveland, Ohio, United States",41.5051613,-81.6934445
"Fort Worth, TX, United States",32.753177,-97.3327458
"San Francisco, California, United States",37.7792808,-122.4192362
"Milwaukee, WS, United States",,
"Columbus, Ohio, United States",39.9622601,-83.0007064
"Hamilton, Ontario, Canada",43.255205,-79.8682019
"Hamburg, Germany",53.550341,10.000654
"Dublin, Ireland",53.3497645,-6.2602731
"Santa Barbara, California, United States",34.4221319,-119.7026672
"Wellesley, Massachusetts, United States",42.2964859,-71.292557
"St. Petersburg, Russian Federation",59.9387318,30.3162286
"Santa Clara, California, United States",37.3541132,-121.9551743
"Naples, Italy",40.8359336,14.2487826
"Arnhem, Netherlands",52.0056642,5.87623450776413
"Chantilly, France",49.1939579,2.4632567
"Wichita, Kansas, United States",37.6922361,-97.3375447
"Strasbourg, France",48.584614,7.7507127
"Winston-Salem, North Carolina, United States",36.0998131,-80.2440517
"Ballarat, Victoria, Australia",-37.5622631,143.8607215
"Leipzig, Germany",51.3391827,12.3810549
"Youngstown, Ohio, United States",41.0997803,-80.6495193
"Utica, New York, United States",43.1009031,-75.232664
"St. Louis, MO, United States",38.6337716,-90.2416547
"Adelaide, Australia",-34.9274283,138.599899
"Royal Leamington Spa, United Kingdom",52.2921548,-1.5356985
"Penzance, United Kingdom",50.1213173,-5.5329265
"Shelburne, Vermont, United States",44.380803,-73.2276539
"Maryland, United States",39.5162234,-76.9382068
"San Diego, California, United States",32.7174209,-117.1627713
"Saratov Region, Russian Federation",,
"Shadrinsk, Russian Federation",56.0873643,63.6294827
"Rotherham, Greater Sheffield, United Kingdom",,
"Geneva, Switzerland",46.2017559,6.1466014
"Andover, United States",42.65717,-71.1408775
"Sheffield, United Kingdom",53.3806626,-1.4702277
United Kingdom,54.7023545,-3.2765752
"Hampton Court, United Kingdom",54.6885213,-5.9043578
"Amsterdam, Netherlands",52.3745403,4.89797550561798
"Colchester, United Kingdom",51.8931303,0.9046293
Italy,42.6384261,12.674297
"Bilbao, Spain",43.2629489,-2.9349458
"Smolensk, Russian Federation",54.77897005,32.0471812191562
"Kostroma, Russian Federation",57.7679158,40.9269141
"Cincinnati, Ohio, United States",39.1014537,-84.5124601
"Leeds, United Kingdom",53.7974185,-1.543794
"Seville, Spain",37.3886303,-5.995317
"Southampton, United Kingdom",50.9025349,-1.4041889
"Bath, United Kingdom",51.3813864,-2.3596962
"Pontypool, United Kingdom",51.7026571,-3.032751
Isle of Man,54.2358167,-4.51459864569825
"Stafford, United Kingdom",52.8063157,-2.1163817
"Washington, DC, United States",38.8949549,-77.0366455
"Munich, Germany",48.1371079,11.5753822
"Pasadena, CA, United States",34.1476452,-118.1444778
"Vienna, Austria",48.2083537,16.3725042
"Krakow, Poland",50.0619474,19.9368564
"Brunswick, Germany",52.2639962,10.5252669
"Venice, Italy",45.4371908,12.3345899
"Dundee, United Kingdom",56.4593653,-2.9735212
"Hove, United Kingdom",50.8286917,-0.1745743
"Tenero-Contra, Switzerland",46.1841146,8.8453084
"San Francisco, United States",37.7792808,-122.4192362
"New York City, United States",40.7305991,-73.9865811
"Rennes, France",48.1113387,-1.6800197
"Aberdeen, United Kingdom",57.1452452,-2.0913744
"Minneapolis, Minnesota, United States",44.9772995,-93.2654691
"New York City, New York, United States",40.7305991,-73.9865811
"Newport News, Virginia, United States",37.016827,-76.4505195
"Williamsburg, Virginia, United States",37.2707028,-76.7074501
"Hanover, Germany",52.3744779,9.7385532
"Ascona, Switzerland",46.1554222,8.7707865
"Bournemouth, United Kingdom",50.74467035,-1.85798080318094
"Cambridge, United Kingdom",52.2033051,0.124862
"Birkenhead,Greater Liverpool, United Kingdom",51.5488859,-0.110098421791647
"Dnepropetrovsk, Ukraine",48.4680221,35.0417711
"Basel, Switzerland",47.5581077,7.5878261
"New York, New York, United States",40.7305991,-73.9865811
"Detroit, United States",42.3486635,-83.0567374
"Glasgow, United Kingdom",55.856656,-4.2435816
"Stoke-on-Trent, United Kingdom",53.0162014,-2.1812606
"New Haven, Connecticut, United States",41.3082138,-72.9250517
"Rotterdam, Netherlands",51.92779805,4.48862326925829
"Ghent, Belgium",51.0538286,3.7250121
"Dresden, Germany",51.0493286,13.7381437
"Manchester, United Kingdom",53.4791301,-2.2441008
"Essen, Germany",51.457087,7.011429
"Grenoble, France",45.182151,5.7274722
"Sunderland, Greater Newcastle, United Kingdom",,
"Gateshead, Greater Newcastle, United Kingdom",,
"Ramsgate, United Kingdom",51.3344829,1.4227153
"Lancaster, United Kingdom",54.0484068,-2.7990344
"Preston, United Kingdom",53.7589938,-2.7051617
"Oldham, United Kingdom",53.5415797,-2.114783
"Derby, United Kingdom",52.9212617,-1.476149
"Carlisle, United Kingdom",54.8948478,-2.936231
"Hull, United Kingdom",53.7435722,-0.3394757
"Wolverhampton, United Kingdom",52.5847651,-2.1275669
"Merthyr Tydfil, United Kingdom",51.7490624,-3.3786182
"Bradford, England",53.7941567,-1.7494777
"Belfast, United Kingdom",54.5969869,-5.9300991
"Northampton, United Kingdom",52.2385239,-0.9024929
"Oslo, Norway",59.9132694,10.7391112
"Bergen, Norway",60.3943532,5.325551
"Los Angeles, California, United States",34.054935,-118.2444759
"Montauban, France",44.0175835,1.3549991
"Melbourne, Australia",-37.8142175,144.9631608
"Toulouse, France",43.6044622,1.4442469
"Paisley, Renfrewshire, United Kingdom",55.8481954,-4.4249328
"Norfolk, Virginia, United States",36.8889933,-76.2481623
"Dundee, Scotland",56.4593653,-2.9735212
"Cambridge, Greater Boston, Massachusetts, United States",,
"Lisbon, Portugal",38.7077926,-9.136506
"Cherbourg, France",49.51271975,-1.57550423914609
"Birmingham, United Kingdom",52.4776875,-1.8948515
"Montpellier, France",43.6112422,3.8767337
"Tours, France",47.3900474,0.6889268
"Los Angeles, United States",34.054935,-118.2444759
"Mulheim an der Ruhr, Germany",51.4272925,6.8829192
"Bonn, Germany",50.735851,7.10066
"Wien-Innere Stadt, Austria",48.1983738,16.366388
"Memphis, Tennessee, United States",35.1490215,-90.0516284
"Stockholm, Sweden",59.3251172,18.0710935
"Balsta, Sweden",59.5682821,17.5294675
"Bristol, United Kingdom",51.453493,-2.5973936
"DeLand, Florida, United States",29.0195145,-81.2941416253978
"Knutsford, United Kingdom",53.3078742,-2.3720506
"Auckland, New Zealand, New Zealand",-36.8534664,174.7655514
"Barnard Castle, United Kingdom",54.5443517,-1.9238694
"Bologna, Italy",44.4936714,11.3430347
"Swansea, United Kingdom",51.6211442,-3.946775
"Wimborne Minster, United Kingdom",50.7995189,-1.9873389
"Indianapolis, Indiana, United States",39.7683331,-86.1583501
"Rouen, France",49.4404591,1.0939658
"Modena, Italy",44.6458885,10.9255707
"Bury St Edmunds, United Kingdom",52.2460367,0.7125173
"Kislovodsk, Russian Federation",43.9143583,42.7237033
"Poltava, Ukraine",49.5897423,34.5507948
"Kaluga, Russian Federation",54.5101087,36.2598115
"Baku, Azerbaijan",40.3754289,49.8328549
"Lviv, Ukraine",49.841952,24.0315921
"Montreal. Quebec, Canada",45.4972159,-73.6103641
"Bari, Italy",41.1257843,16.8620293
"Potsdam, Germany",52.4009309,13.0591397
"Ludwigsburg, Greater Stuttgart, Germany",,
"Carcassonne, France",43.2130358,2.3491069
"Nuremberg, Germany",49.453872,11.077298
"Perth, United Kingdom",56.3956402,-3.4345333
"Fife, United Kingdom",56.3333331,-3.0
"Kilmarnock, United Kingdom",55.6101306,-4.4985358
"Maybole, United Kingdom",55.3535872,-4.6843309
"York, United Kingdom",53.9590555,-1.081536
"Liverpool, United Kingdom",53.4054719,-2.9805391
"Kirklees, West Yorkshire, United Kingdom",53.6988806,-1.64162642290372
"Southport, United Kingdom",53.6475988,-3.004175
"Canberra, Australia",-35.2975905,149.1012676
"Cologne, Germany",50.938361,6.959974
"Dordrecht, Netherlands",51.7689546,4.68678905674013
"Doncaster, United Kingdom",53.5227681,-1.1335311
"Haverfordwest, United Kingdom",51.8023297,-4.9651073
"Cardiff, United Kingdom",51.4816546,-3.1791933
"Salzburg, Austria",47.7981346,13.0464806
"Chastleton, United Kingdom",51.9599665,-1.6409203
"Peterborough, United Kingdom",52.5738875,-0.24167
"Lewes, United Kingdom",50.8741265,0.0121129
"Rochdale, Greater Manchester, United Kingdom",53.6153659,-2.155756
"Lucerne, Switzerland",,
"Morlaix, France",48.5824932,-3.8331971
"Aberystwyth, United Kingdom",52.4143113,-4.0816845
"Bridgwater, United Kingdom",51.1283378,-3.0037045
