,painting_url,short_name,painting_info_detail,period_code,creation_date,creation_place,dimension,exibit_place,technique,title,creation_date,creation_place,dimension,exibit_place,technique,title
0,http://www.wga.hu/art/g/gogh_van/21/waterc01.jpg,gogh_van,"
,Edge of a Wood,
June-July 1881, Etten,
Pencil, charcoal, brush and ink, watercolour on laid paper, 416 x 548 mm,
Rijksmuseum Kröller-Müller, Otterlo,

",21,June-July 1881,Etten,416 x 548 mm,"Rijksmuseum Kröller-Müller, Otterlo","Pencil, charcoal, brush and ink, watercolour on laid paper",Edge of a Wood,June-July 1881,Etten,416 x 548 mm,"Rijksmuseum Kröller-Müller, Otterlo","Pencil, charcoal, brush and ink, watercolour on laid paper",Edge of a Wood
1,http://www.wga.hu/art/g/gogh_van/21/waterc02.jpg,gogh_van,"
,Woman Sewing,
October-November 1881, Etten,
Black chalk, washed, opaque watercolour, on laid paper, 620 x 472 mm,
Rijksmuseum Kröller-Müller, Otterlo,

",21,October-November 1881,Etten,620 x 472 mm,"Rijksmuseum Kröller-Müller, Otterlo","Black chalk, washed, opaque watercolour, on laid paper",Woman Sewing,October-November 1881,Etten,620 x 472 mm,"Rijksmuseum Kröller-Müller, Otterlo","Black chalk, washed, opaque watercolour, on laid paper",Woman Sewing
2,http://www.wga.hu/art/g/gogh_van/21/waterc03.jpg,gogh_van,"
,Sien with Cigar Sitting on the Floor near Stove,
March-April 1882, The Hague,
Pencil, pen and brush in black ink, white opaque watercolour on laid paper (two sheets), 452 x 557 mm,
Rijksmuseum Kröller-Müller, Otterlo,

",21,March-April 1882,The Hague,452 x 557 mm,"Rijksmuseum Kröller-Müller, Otterlo","Pencil, pen and brush in black ink, white opaque watercolour on laid paper (two sheets)",Sien with Cigar Sitting on the Floor near Stove,March-April 1882,The Hague,452 x 557 mm,"Rijksmuseum Kröller-Müller, Otterlo","Pencil, pen and brush in black ink, white opaque watercolour on laid paper (two sheets)",Sien with Cigar Sitting on the Floor near Stove
3,http://www.wga.hu/art/g/gogh_van/21/waterc04.jpg,gogh_van,"
,Beach at Scheveningen,
October 1882, The Hague,
Watercolour, 340 x 495 mm,
Baltimore Museum of Art, Baltimore,

",21,October 1882,The Hague,340 x 495 mm,"Baltimore Museum of Art, Baltimore",Watercolour,Beach at Scheveningen,October 1882,The Hague,340 x 495 mm,"Baltimore Museum of Art, Baltimore",Watercolour,Beach at Scheveningen
4,http://www.wga.hu/art/g/gogh_van/21/waterc05.jpg,gogh_van,"
,The Weaver,
December-August 1883-84, Nuenen,
Watercolour, 356 x 254 mm,
Rijksmuseum Vincent van Gogh, Amsterdam,

",21,December-August 1883-84,Nuenen,356 x 254 mm,"Rijksmuseum Vincent van Gogh, Amsterdam",Watercolour,The Weaver,December-August 1883-84,Nuenen,356 x 254 mm,"Rijksmuseum Vincent van Gogh, Amsterdam",Watercolour,The Weaver
5,http://www.wga.hu/art/g/gogh_van/21/waterc06.jpg,gogh_van,"
,Weaver: The Whole Loom Facing Right,
January 1884, Nuenen,
Pencil, pen, gouache, watercolour, 318 x 451 mm,
Musée du Louvre, Paris,

",21,January 1884,Nuenen,318 x 451 mm,"Musée du Louvre, Paris","Pencil, pen, gouache, watercolour",Weaver: The Whole Loom Facing Right,January 1884,Nuenen,318 x 451 mm,"Musée du Louvre, Paris","Pencil, pen, gouache, watercolour",Weaver: The Whole Loom Facing Right
6,http://www.wga.hu/art/g/gogh_van/21/waterc07.jpg,gogh_van,"
,The Sale of Crosses at the Nuenen Cemetery,
May 1885, Nuenen,
Watercolour, 381 x 559 mm,
Rijksmuseum Vincent van Gogh, Amsterdam,

",21,May 1885,Nuenen,381 x 559 mm,"Rijksmuseum Vincent van Gogh, Amsterdam",Watercolour,The Sale of Crosses at the Nuenen Cemetery,May 1885,Nuenen,381 x 559 mm,"Rijksmuseum Vincent van Gogh, Amsterdam",Watercolour,The Sale of Crosses at the Nuenen Cemetery
7,http://www.wga.hu/art/g/gogh_van/21/waterc08.jpg,gogh_van,"
,Outskirts of Paris near Montmartre,
Summer 1887, Paris,
Watercolour on paper, 395 x 535 mm,
Stedelijk Museum, Amsterdam,

",21,Summer 1887,Paris,395 x 535 mm,"Stedelijk Museum, Amsterdam",Watercolour on paper,Outskirts of Paris near Montmartre,Summer 1887,Paris,395 x 535 mm,"Stedelijk Museum, Amsterdam",Watercolour on paper,Outskirts of Paris near Montmartre
8,http://www.wga.hu/art/g/gogh_van/21/waterc09.jpg,gogh_van,"
,The Langlois Bridge at Arles,
April 1888, Arles,
Watercolour on paper, 300 x 300 mm,
Private collection,

",21,April 1888,Arles,300 x 300 mm,Private collection,Watercolour on paper,The Langlois Bridge at Arles,April 1888,Arles,300 x 300 mm,Private collection,Watercolour on paper,The Langlois Bridge at Arles
9,http://www.wga.hu/art/g/gogh_van/21/waterc10.jpg,gogh_van,"
,Harvest in Provence, at the Left Montmajour,
June 1888, Arles,
Watercolour and pen, 395 x 525 mm,
Fogg Art Museum, Harvard University, Cambridge,

",21,June 1888,Arles,395 x 525 mm,"Fogg Art Museum, Harvard University, Cambridge",Watercolour and pen,"Harvest in Provence, at the Left Montmajour",June 1888,Arles,395 x 525 mm,"Fogg Art Museum, Harvard University, Cambridge",Watercolour and pen,"Harvest in Provence, at the Left Montmajour"
10,http://www.wga.hu/art/g/gogh_van/21/waterc11.jpg,gogh_van,"
,The Night Café in the Place Lamartine in Arles,
September 1888, Arles,
Watercolour, 444 x 632 mm,
Private collection,

",21,September 1888,Arles,444 x 632 mm,Private collection,Watercolour,The Night Café in the Place Lamartine in Arles,September 1888,Arles,444 x 632 mm,Private collection,Watercolour,The Night Café in the Place Lamartine in Arles
