width,height,layers
1200,903,3
1100,1438,3
1300,1039,3
1363,900,3
1196,900,3
1300,881,3
1295,900,3
1228,900,3
933,930,3
1364,1000,3
1400,951,3
800,1039,3
820,1001,3
698,800,3
800,1113,3
857,1300,3
800,1007,3
941,850,3
1040,900,3
999,1500,3
829,1102,3
784,900,3
803,1122,3
1034,850,3
1102,900,3
800,632,3
564,600,3
1410,900,3
1220,900,3
1068,800,3
750,1111,3
908,1300,3
1300,1015,3
450,873,3
400,872,3
750,779,3
800,810,3
700,1050,3
480,694,1
906,1062,1
666,820,3
462,600,3
750,1093,1
850,1050,3
850,1132,3
822,1010,3
1322,900,3
691,900,3
872,673,3
1100,710,3
1039,850,3
1082,1255,3
940,610,3
1255,972,3
1000,822,3
1300,840,3
1229,850,3
1210,1500,3
1243,850,3
1086,770,3
1196,800,3
1255,851,3
1137,720,3
961,680,3
1423,900,3
1148,760,3
1162,750,3
1255,824,3
1308,750,3
800,545,3
1326,750,3
800,626,3
1360,950,3
1244,850,3
1361,770,3
1422,900,3
687,980,3
700,660,3
1067,800,3
796,959,3
673,950,3
900,1232,3
800,1670,3
700,900,3
950,1367,3
1000,1343,3
796,1019,3
800,1185,3
706,920,3
1000,1297,3
823,1300,3
900,1271,3
850,1300,3
700,1077,3
800,1237,3
971,1300,3
1124,850,3
703,1022,3
1000,1311,3
1034,1200,3
950,1177,3
1000,1215,3
1000,1311,3
700,1232,3
1107,1100,3
841,1020,3
900,1104,3
990,1200,3
681,960,3
729,1030,3
945,1253,3
746,1101,3
1037,1400,3
850,1181,3
940,1600,3
800,952,3
561,700,3
851,1037,3
852,1200,3
783,1001,3
850,1122,3
1324,900,3
1050,1291,3
950,1253,3
951,1200,3
662,862,3
800,439,3
800,1546,3
600,1613,3
600,1625,3
800,439,3
1100,1308,3
1318,800,3
1303,936,3
800,1109,3
1016,1255,3
1262,830,3
1350,809,3
770,960,3
1225,1100,3
1300,1019,3
1318,950,3
1227,890,3
1042,539,3
873,648,3
958,784,3
900,1809,3
1241,493,3
1057,1255,3
1257,1030,3
1100,1328,3
708,1021,3
1000,1255,3
1200,741,3
1000,1593,3
1278,950,3
1420,950,3
1275,1600,3
954,1400,3
1400,961,3
1200,1240,3
1100,1104,3
1126,1100,3
1200,800,3
1131,1300,3
1150,1228,3
1450,827,3
1158,750,3
1322,800,3
1214,900,3
1021,1351,3
1020,728,3
1211,850,3
1070,1300,3
920,702,3
1300,1033,3
1161,920,3
400,1149,3
1548,900,3
1228,900,3
1235,900,3
1000,1252,3
1030,1159,3
1165,950,3
900,989,3
1121,1100,3
1145,800,3
885,1255,3
1416,950,3
948,1300,3
1285,1000,3
1251,1121,3
850,1214,3
1030,931,3
1152,1000,3
1012,679,3
1020,1062,3
850,1185,3
1040,770,3
980,1340,3
1000,1316,3
1000,1250,3
900,1061,3
820,1074,3
1026,1300,3
730,1198,3
1078,700,3
900,1017,3
817,1098,3
1128,1600,3
675,960,3
788,1200,3
700,1135,3
734,947,3
682,970,3
755,1070,3
784,1280,3
803,1089,3
717,1024,3
769,1005,3
756,1084,3
876,1353,3
850,1213,3
1400,1114,3
749,1140,3
1030,1357,3
892,1350,3
725,1075,3
1228,850,3
900,1319,3
836,1253,3
1037,791,3
750,1164,3
1241,931,3
727,954,3
850,1170,3
764,1000,3
1125,970,3
678,1020,3
606,956,3
1254,808,3
600,1571,3
605,1576,3
1044,730,3
723,1041,3
800,1073,3
1255,808,3
957,1320,3
519,1446,3
601,1556,3
520,1448,3
605,1596,3
1100,756,3
1021,1400,3
850,1312,3
810,1055,3
1133,900,3
766,1100,3
958,1400,3
835,1400,3
500,868,3
900,1115,3
850,1006,3
805,1124,3
1000,1353,3
1030,1129,3
667,1160,3
970,1300,3
705,938,3
1354,770,3
1600,1117,3
750,1174,3
1250,951,3
894,1200,3
1300,1060,3
900,1162,3
907,1300,3
857,1114,3
810,1136,3
800,1262,3
1000,1213,3
854,1300,3
855,1100,3
836,1200,3
700,1401,3
890,1350,3
800,1215,3
1040,800,3
784,500,3
1062,850,3
1000,1061,3
1220,900,3
1212,900,3
1200,904,3
600,870,3
1100,829,3
884,600,1
1069,800,1
